#{"t_start": 1707942101.3908827, "env_id": "None"}
r,l,t
200.0,200,118.348072
183.0,183,118.663206
87.0,87,118.812291
147.0,147,119.066381
154.0,154,119.330493
168.0,168,121.644688
253.0,253,122.080807
118.0,118,122.282125
221.0,221,122.661553
141.0,141,122.905682
191.0,191,123.233008
152.0,152,123.494236
148.0,148,123.747519
258.0,258,124.190708
165.0,165,124.474035
184.0,184,124.790171
241.0,241,147.066339
191.0,191,147.394455
100.0,100,147.565686
159.0,159,147.838811
205.0,205,148.193068
158.0,158,148.464266
177.0,177,148.769524
177.0,177,149.074629
166.0,166,149.358755
165.0,165,149.643875
185.0,185,149.961107
134.0,134,152.213727
241.0,241,152.628122
184.0,184,152.943516
255.0,255,153.379712
175.0,175,153.679824
138.0,138,153.915865
221.0,221,154.293205
254.0,254,154.726571
196.0,196,155.061856
193.0,193,155.392145
153.0,153,155.653234
246.0,246,177.82272
305.0,305,178.346202
163.0,163,178.626373
301.0,301,179.143763
281.0,281,179.628077
249.0,249,180.056611
187.0,187,180.379842
159.0,159,180.65324
330.0,330,183.245761
275.0,275,183.718254
183.0,183,184.031457
157.0,157,184.302577
267.0,267,184.76185
347.0,347,185.360073
394.0,394,186.037254
243.0,243,186.45898
152.0,152,208.470563
267.0,267,208.929817
240.0,240,209.342214
221.0,221,209.722544
266.0,266,210.178852
303.0,303,210.69839
263.0,263,211.148624
236.0,236,211.553819
153.0,153,213.847798
224.0,224,214.233276
128.0,128,214.452372
322.0,322,215.004323
460.0,460,215.791712
441.0,441,216.546174
339.0,339,217.126552
229.0,229,239.350667
226.0,226,239.737969
298.0,298,240.250559
159.0,159,240.52277
278.0,278,241.000268
289.0,289,241.493625
220.0,220,241.869985
214.0,214,242.239429
189.0,189,244.576087
210.0,210,244.937407
178.0,178,245.242126
155.0,155,245.506628
13.0,13,245.528628
263.0,263,245.981003
190.0,190,246.307464
112.0,112,246.499654
187.0,187,246.820989
164.0,164,247.103111
309.0,309,247.633318
164.0,164,247.914429
252.0,252,270.143073
129.0,129,270.365361
218.0,218,270.738635
267.0,267,271.197003
226.0,226,271.585292
179.0,179,271.891728
287.0,287,272.383441
186.0,186,272.709771
265.0,265,273.167086
187.0,187,275.504591
196.0,196,275.842173
273.0,273,276.309395
193.0,193,276.639498
160.0,160,276.913811
197.0,197,277.251028
207.0,207,277.605284
202.0,202,277.951479
214.0,214,278.319684
193.0,193,278.649957
135.0,135,300.675172
185.0,185,300.992277
170.0,170,301.283392
301.0,301,301.797764
205.0,205,302.14817
310.0,310,302.677459
181.0,181,302.986678
107.0,107,303.168786
217.0,217,303.538068
105.0,105,303.723145
143.0,143,305.975969
69.0,69,306.095001
262.0,262,306.544322
179.0,179,306.852536
175.0,175,307.152672
172.0,172,307.44771
202.0,202,307.793848
125.0,125,308.008101
117.0,117,308.207264
196.0,196,308.543598
204.0,204,308.892967
112.0,112,309.084299
