#{"t_start": 1707942103.8006618, "env_id": "None"}
r,l,t
49.0,49,63.975009
41.0,41,64.046013
27.0,27,64.092061
13.0,13,64.11506
58.0,58,64.214127
91.0,91,64.3713
73.0,73,64.496322
37.0,37,64.559391
41.0,41,64.629391
55.0,55,64.724514
31.0,31,64.777548
41.0,41,64.847552
104.0,104,65.026777
67.0,67,65.141921
38.0,38,65.207948
56.0,56,65.304223
44.0,44,65.38025
85.0,85,65.527434
18.0,18,65.557457
39.0,39,65.625457
41.0,41,65.697537
64.0,64,65.808616
42.0,42,65.880643
58.0,58,65.979738
42.0,42,66.051773
143.0,143,66.297932
29.0,29,66.346936
59.0,59,66.447996
45.0,45,67.937922
47.0,47,68.018946
48.0,48,68.101012
48.0,48,68.183034
56.0,56,68.280072
68.0,68,68.397146
55.0,55,68.491282
142.0,142,68.736652
29.0,29,68.785749
60.0,60,68.889808
141.0,141,69.131941
39.0,39,69.199039
53.0,53,69.290181
87.0,87,69.439232
29.0,29,69.489268
82.0,82,69.630298
89.0,89,69.782345
76.0,76,69.913385
127.0,127,70.131575
66.0,66,70.244688
47.0,47,70.325732
41.0,41,70.395761
51.0,51,70.483802
88.0,88,70.634841
101.0,101,70.809043
84.0,84,70.953236
50.0,50,71.039239
35.0,35,71.099316
79.0,79,71.234338
77.0,77,71.366472
55.0,55,93.897271
59.0,59,93.998324
119.0,119,94.203432
55.0,55,94.297508
12.0,12,94.318507
18.0,18,94.349508
87.0,87,94.497691
40.0,40,94.566694
79.0,79,94.701782
65.0,65,94.813998
110.0,110,95.002087
205.0,205,95.355322
65.0,65,95.467381
107.0,107,95.651618
103.0,103,95.827747
84.0,84,95.973985
36.0,36,96.035985
82.0,82,96.177081
62.0,62,96.284148
163.0,163,96.565244
58.0,58,96.665266
93.0,93,96.824549
78.0,78,96.958639
72.0,72,97.08293
45.0,45,97.159932
130.0,130,98.798204
99.0,99,98.96746
169.0,169,99.25862
56.0,56,99.355663
110.0,110,99.543082
178.0,178,99.847327
114.0,114,100.042457
110.0,110,100.231508
51.0,51,100.31854
92.0,92,100.476866
89.0,89,100.62994
64.0,64,100.739004
93.0,93,100.898083
95.0,95,101.061135
107.0,107,101.244611
46.0,46,101.322658
154.0,154,101.585891
53.0,53,101.676923
94.0,94,101.838187
86.0,86,101.985258
89.0,89,102.137306
62.0,62,102.244631
24.0,24,124.579886
108.0,108,124.765964
73.0,73,124.891019
135.0,135,125.122217
130.0,130,125.345411
195.0,195,125.680981
113.0,113,125.874045
32.0,32,125.929065
91.0,91,126.084105
115.0,115,126.282171
119.0,119,126.487261
99.0,99,126.659335
131.0,131,126.884507
88.0,88,127.036567
164.0,164,127.320899
67.0,67,127.436979
93.0,93,127.597072
184.0,184,127.915298
187.0,187,129.650597
93.0,93,129.809695
81.0,81,129.948711
102.0,102,130.124807
101.0,101,130.297908
79.0,79,130.43295
74.0,74,130.560971
110.0,110,130.750277
83.0,83,130.893329
79.0,79,131.02941
99.0,99,131.199715
138.0,138,131.436967
82.0,82,131.577015
144.0,144,131.825176
67.0,67,131.940226
112.0,112,132.132401
159.0,159,132.405707
101.0,101,132.580735
220.0,220,132.959083
114.0,114,155.506023
86.0,86,155.654128
86.0,86,155.801179
118.0,118,156.003225
71.0,71,156.124318
95.0,95,156.287352
122.0,122,156.496559
58.0,58,156.595578
71.0,71,156.717712
53.0,53,156.809716
95.0,95,156.973769
127.0,127,157.191874
119.0,119,157.397981
90.0,90,157.554084
69.0,69,157.67238
127.0,127,157.891437
108.0,108,158.077635
83.0,83,158.220769
187.0,187,158.542925
211.0,211,160.319123
190.0,190,160.645218
174.0,174,160.94434
329.0,329,161.509634
175.0,175,161.809767
185.0,185,162.127068
177.0,177,162.431195
174.0,174,162.729649
106.0,106,162.911687
190.0,190,163.238879
120.0,120,163.445254
294.0,294,186.602915
132.0,132,186.830008
155.0,155,187.097223
90.0,90,187.252307
141.0,141,187.494378
115.0,115,187.694465
119.0,119,187.898658
191.0,191,188.228993
233.0,233,188.632412
220.0,220,189.010802
