#{"t_start": 1706296586.9475803, "env_id": "None"}
r,l,t
168.82024,1600,403.151414
177.57501,1600,403.214411
199.0293,1600,404.055631
190.5559,1600,404.718751
176.4169,1600,404.812265
162.49669,1600,405.320741
194.96158,1600,405.339253
190.10129,1600,405.585807
39.90204,1252,406.040395
-27.024956,721,406.45248
192.00214,1600,406.763026
199.30652,1600,425.244202
-100.420944,128,425.53425
-101.87329,122,425.798805
193.3712,1600,425.906329
190.20044,1600,426.499433
179.41821,1600,426.516433
186.64058,1600,426.757995
198.94202,1600,427.211183
-41.903637,683,427.446746
202.72429,1600,427.621266
184.3053,1600,427.934822
-37.640186,651,427.996334
-63.358456,413,428.159367
-51.330902,553,446.989246
179.33005,1600,447.008246
-21.39518,674,447.056768
178.70837,1600,447.680907
189.91382,1600,447.935945
204.92532,1600,448.611868
195.98087,1600,448.783901
205.1497,1600,449.15986
-43.008327,589,449.950008
201.50955,1600,450.57111
185.95645,1600,450.600109
196.72423,1600,450.642619
199.1957,1600,468.852194
-63.179325,401,469.046237
164.62193,1600,469.105238
199.06738,1600,469.925651
186.71568,1600,470.289717
200.79884,1600,471.07134
182.99562,1600,471.690566
191.01305,1600,471.749083
191.78537,1600,472.427399
188.34358,1600,472.628434
193.82092,1600,472.695951
195.42137,1600,491.038109
179.27913,1600,491.399169
-7.7029953,862,491.861841
195.06091,1600,492.183401
212.39728,1600,492.78844
196.35913,1600,492.853643
-64.03245,326,493.52576
96.58005,1600,493.707999
198.5209,1600,493.772336
-19.355957,788,493.950855
198.99939,1600,494.640944
-99.992096,121,494.909485
202.67473,1600,495.008001
196.13235,1600,513.080324
-100.88847,113,513.344364
11.033081,1204,513.865638
190.67798,1600,514.087583
198.15338,1600,514.932005
196.09703,1600,514.990031
191.90688,1600,515.180569
-89.97518,231,515.692155
-95.28425,119,515.963714
194.06145,1600,516.130228
206.09332,1600,516.224307
-110.46788,258,516.718863
201.68024,1600,516.952905
205.44792,1600,517.47201
46.94667,1200,517.654535
169.69131,1600,535.306675
176.19638,1600,536.163858
-38.24539,557,536.276377
200.41608,1600,537.080698
188.56566,1600,537.333735
197.01294,1600,537.826328
196.71964,1600,538.061882
200.38525,1600,538.763162
194.515,1600,538.811162
-68.36515,394,539.654441
200.48969,1600,539.731464
186.84412,1600,557.409492
179.84386,1600,558.219176
-78.22015,435,558.240176
198.4371,1600,558.481762
57.74109,1386,558.715435
187.4049,1600,558.962223
202.06502,1600,559.922898
22.34784,1304,560.292981
204.90767,1600,560.771997
192.52512,1600,561.820791
181.44038,1600,561.834792
172.75122,1600,579.640172
174.31628,1600,579.865216
176.5545,1600,580.106532
28.682617,1180,580.476362
162.2732,1600,581.019963
-2.9418259,817,581.627504
-33.99636,975,581.755018
189.60495,1600,581.865051
190.50224,1600,582.904981
195.21547,1600,582.918981
-43.21414,570,583.155522
188.4173,1600,583.662128
195.9908,1600,601.556083
175.42357,1600,602.118204
191.29439,1600,602.720315
197.14703,1600,602.836829
190.82513,1600,604.005478
192.95033,1600,604.019481
185.35033,1600,604.266632
203.72768,1600,604.775277
-70.25606,305,604.960808
192.2431,1600,605.177626
189.74344,1600,605.766237
25.117294,1283,605.78775
70.176315,1593,623.87395
-15.924606,753,624.385076
187.20676,1600,625.143767
192.62466,1600,625.157768
197.40398,1600,625.881675
201.96727,1600,626.075207
185.84088,1600,626.85585
178.50978,1600,626.877856
178.85858,1600,627.464931
26.5803,1123,627.682491
-71.01501,380,627.74449
169.90532,1600,627.999051
-100.84955,156,628.116565
-108.868576,143,645.900244
-99.47023,145,646.214811
162.65434,1600,646.339334
193.38196,1600,647.052961
140.6369,1600,647.237997
183.38628,1600,648.018496
182.02715,1600,648.627608
161.3372,1600,648.845641
179.01582,1600,649.269719
194.72197,1600,649.812833
174.49867,1600,649.949353
192.70412,1600,668.322749
182.8366,1600,668.497795
187.9045,1600,669.272439
192.06625,1600,669.857122
177.69199,1600,670.074704
179.98778,1600,670.486798
7.208046,1054,670.662848
188.19768,1600,671.028142
-83.275055,261,671.080148
182.91037,1600,671.168179
185.63327,1600,672.102784
176.12997,1600,690.466221
186.76277,1600,691.026327
189.94434,1600,691.230362
184.44646,1600,691.776957
189.5371,1600,692.13904
188.69704,1600,692.193045
195.38054,1600,692.281565
195.6957,1600,693.218563
182.23393,1600,694.027291
184.47136,1600,694.636403
190.85736,1600,694.851444
177.99243,1600,712.928218
211.81248,1600,713.271604
182.029,1600,713.316122
171.17374,1600,713.39713
185.18669,1600,714.282445
-47.8483,492,714.466995
182.04472,1600,715.077111
175.56773,1600,715.679221
183.1756,1600,715.895266
-101.614944,98,715.904288
191.09708,1600,716.498054
185.14925,1600,716.864115
202.03654,1600,716.911628
212.14749,1600,735.471376
-21.94802,713,735.652421
195.7183,1600,735.652421
181.06244,1600,736.230281
50.901016,1564,736.950696
172.60585,1600,737.045727
199.8241,1600,738.003704
185.67245,1600,738.052215
-77.75116,259,738.639826
201.1532,1600,739.070896
201.77644,1600,756.813993
157.28255,1600,756.813993
189.10657,1600,757.397495
85.957535,1558,758.108716
206.89076,1600,758.120224
193.61133,1600,759.156055
184.80562,1600,759.788173
191.7723,1600,760.21377
193.19548,1600,760.408292
202.02855,1600,760.408292
28.931198,1100,760.609937
200.00246,1600,761.007019
193.8872,1600,779.337431
-15.147972,737,779.653983
-6.701172,837,780.070058
177.2227,1600,780.354616
-97.5756,174,780.737267
211.36887,1600,780.975302
72.14313,1382,781.098369
195.80525,1600,781.401455
208.87477,1600,782.189602
205.66473,1600,782.921278
197.55649,1600,783.262831
196.98753,1600,801.241097
197.94234,1600,801.899651
72.94002,1320,801.927172
-59.169716,368,802.05769
181.54166,1600,802.144204
34.324783,1067,802.152204
191.17198,1600,802.26472
-76.286934,221,802.640971
-84.81678,479,803.134557
-58.239105,506,803.391602
-39.114765,751,803.589631
-101.306946,155,803.744494
-55.932,356,803.936525
192.16493,1600,804.084042
155.71663,1600,804.420621
-88.02759,371,804.44662
-27.920029,698,805.528968
203.3427,1600,805.559968
185.92807,1600,823.235458
200.4316,1600,823.72263
76.46959,1442,824.784334
192.97166,1600,824.809339
210.0571,1600,825.470857
192.56372,1600,825.492857
49.459686,1239,826.001081
169.37552,1600,826.583185
196.79681,1600,826.61219
192.79147,1600,827.336566
190.06169,1600,845.987345
196.25275,1600,846.012349
7.9726486,1107,846.622945
189.83017,1600,846.635455
149.15079,1600,846.658455
162.08022,1600,847.151068
180.90546,1600,847.745479
195.34961,1600,848.462283
189.27008,1600,849.544966
157.49356,1600,849.570966
197.44655,1600,867.815286
200.3314,1600,867.828291
197.53137,1600,867.849801
186.93054,1600,868.335071
182.32329,1600,868.92567
187.2742,1600,869.629316
39.63028,1199,869.829357
172.08617,1600,870.705621
182.98323,1600,871.425529
166.51051,1600,871.441045
198.21999,1600,871.463045
188.28581,1600,872.022658
198.2901,1600,890.240392
186.42918,1600,890.933026
189.00821,1600,891.13957
187.54352,1600,892.002791
169.8616,1600,892.682424
177.91379,1600,892.696424
207.28986,1600,892.717424
185.6749,1600,893.225571
194.02711,1600,893.825677
35.184753,1416,894.333263
197.497,1600,912.201912
189.30293,1600,913.225104
205.87714,1600,913.89373
204.85576,1600,913.907729
187.38647,1600,913.930737
198.4478,1600,914.436339
-62.691017,420,914.858925
189.20749,1600,915.034453
200.68005,1600,915.545619
168.66203,1600,915.763159
205.49922,1600,934.386629
196.82904,1600,935.016766
196.88905,1600,935.053292
210.44919,1600,935.542482
198.67352,1600,935.963069
205.13701,1600,936.136589
65.76759,1383,936.14965
-108.06333,76,936.313167
188.79616,1600,936.8513
24.575882,1128,936.8693
-84.944595,295,937.522409
-12.519234,750,937.654457
195.59564,1600,938.618132
204.75418,1600,938.649651
-41.425545,455,956.784544
-21.611778,662,957.073102
241.10675,1600,958.365048
209.05453,1600,958.365048
224.70694,1600,958.365048
247.32788,1600,958.365048
237.3678,1600,958.365048
250.5845,1600,958.365048
227.66765,1600,958.988168
241.22504,1600,959.277742
97.25084,1362,960.259498
227.59567,1600,960.611609
238.90685,1600,960.611609
242.54453,1600,960.611609
233.20909,1600,960.611609
243.53395,1600,960.611609
249.93613,1600,962.848177
250.72392,1600,962.848177
247.81537,1600,962.848177
257.00565,1600,962.848177
247.47014,1600,962.848177
252.05632,1600,962.848177
250.8461,1600,962.848177
255.57733,1600,962.848177
255.49933,1600,965.074066
251.58769,1600,965.074066
256.47577,1600,965.074066
248.43895,1600,965.074066
253.7052,1600,965.074066
251.83218,1600,965.074066
259.46957,1600,965.074066
253.17793,1600,965.074066
