#{"t_start": 1705386979.1042128, "env_id": "None"}
r,l,t
22.0,22,1.053012
14.0,14,1.056012
16.0,16,1.059012
34.0,34,1.062012
28.0,28,1.065012
32.0,32,1.066012
12.0,12,1.071012
16.0,16,1.072012
20.0,20,1.081012
19.0,19,1.083012
39.0,39,1.083012
15.0,15,1.086012
38.0,38,1.086012
28.0,28,1.091012
25.0,25,1.095012
14.0,14,1.097013
15.0,15,1.098012
13.0,13,1.100011
13.0,13,1.106012
11.0,11,1.109012
17.0,17,1.112012
18.0,18,1.114012
67.0,67,1.116012
14.0,14,1.120012
37.0,37,1.128018
16.0,16,1.130015
22.0,22,1.135016
24.0,24,1.140522
17.0,17,1.144522
29.0,29,1.148522
12.0,12,1.151522
73.0,73,1.151522
43.0,43,1.151522
20.0,20,1.153522
15.0,15,1.158522
80.0,80,1.162522
17.0,17,1.163522
16.0,16,1.165522
39.0,39,1.166522
22.0,22,1.170523
14.0,14,1.170523
18.0,18,1.178522
31.0,31,1.179522
22.0,22,1.180522
18.0,18,1.180522
16.0,16,1.183522
10.0,10,1.188524
24.0,24,1.190524
30.0,30,1.190524
49.0,49,1.192524
17.0,17,1.193525
20.0,20,1.195524
17.0,17,1.195524
16.0,16,1.197523
10.0,10,1.198524
12.0,12,1.200524
12.0,12,1.203524
12.0,12,1.207522
14.0,14,1.207522
12.0,12,1.209522
24.0,24,1.211522
15.0,15,1.213522
14.0,14,1.219522
18.0,18,1.223522
17.0,17,1.224525
25.0,25,1.224525
18.0,18,1.226525
26.0,26,1.227525
19.0,19,1.235525
14.0,14,1.235525
12.0,12,1.237525
18.0,18,1.239028
50.0,50,1.240032
22.0,22,1.245032
12.0,12,1.246032
10.0,10,1.248032
11.0,11,1.250032
22.0,22,1.258033
12.0,12,1.262034
58.0,58,1.266034
21.0,21,1.267034
33.0,33,1.267034
21.0,21,1.269035
50.0,50,1.269035
10.0,10,1.276035
14.0,14,1.276035
35.0,35,1.280035
18.0,18,1.285032
21.0,21,1.287031
35.0,35,1.292032
30.0,30,1.296031
24.0,24,1.297032
25.0,25,1.298032
20.0,20,1.302032
17.0,17,1.302032
39.0,39,1.314032
19.0,19,1.318033
22.0,22,1.319033
16.0,16,1.319033
31.0,31,1.321033
9.0,9,1.326037
11.0,11,1.327038
13.0,13,1.329037
38.0,38,1.332037
35.0,35,1.334036
12.0,12,1.336036
15.0,15,1.339543
79.0,79,1.340543
11.0,11,1.341543
31.0,31,1.342543
13.0,13,1.347545
31.0,31,1.347545
25.0,25,1.351546
19.0,19,1.358546
12.0,12,1.358546
24.0,24,1.360546
23.0,23,1.363545
16.0,16,1.365546
36.0,36,1.365546
32.0,32,1.370546
17.0,17,1.373545
18.0,18,1.374545
16.0,16,1.378546
36.0,36,1.380545
24.0,24,1.383546
10.0,10,1.383546
21.0,21,1.385545
17.0,17,1.386545
12.0,12,1.391544
12.0,12,1.395545
33.0,33,1.396544
18.0,18,1.399544
25.0,25,1.400545
32.0,32,1.403545
20.0,20,1.404545
13.0,13,1.407545
21.0,21,1.409544
11.0,11,1.410544
13.0,13,1.415543
30.0,30,1.421543
16.0,16,1.422543
15.0,15,1.422543
51.0,51,1.428546
30.0,30,1.433548
12.0,12,1.434548
39.0,39,1.437547
45.0,45,1.438549
33.0,33,1.444059
30.0,30,1.449061
33.0,33,1.451062
30.0,30,1.45406
13.0,13,1.455062
24.0,24,1.458059
31.0,31,1.461058
33.0,33,1.462059
12.0,12,1.465059
35.0,35,1.470059
21.0,21,1.471059
14.0,14,1.478056
25.0,25,1.479056
12.0,12,1.481056
23.0,23,1.483056
9.0,9,1.487056
30.0,30,1.490058
21.0,21,1.490058
37.0,37,1.493058
48.0,48,1.494058
15.0,15,1.502059
23.0,23,1.503058
26.0,26,1.503058
18.0,18,1.510057
23.0,23,1.511057
24.0,24,1.512058
21.0,21,1.512058
13.0,13,1.513058
13.0,13,1.514058
38.0,38,1.517057
21.0,21,1.520058
11.0,11,1.521059
15.0,15,1.525064
18.0,18,1.526062
13.0,13,1.528062
11.0,11,1.530062
23.0,23,1.532062
13.0,13,1.537062
31.0,31,1.539568
11.0,11,1.541568
19.0,19,1.543568
35.0,35,1.545568
11.0,11,1.547568
16.0,16,1.548568
30.0,30,1.548568
23.0,23,1.549568
16.0,16,1.55357
15.0,15,1.554571
10.0,10,1.556571
13.0,13,1.558571
19.0,19,1.560571
20.0,20,1.565571
19.0,19,1.56957
26.0,26,1.57157
35.0,35,1.575573
27.0,27,1.575573
26.0,26,1.578575
12.0,12,1.581573
18.0,18,1.585571
32.0,32,1.587571
36.0,36,1.589571
20.0,20,1.601571
16.0,16,1.601571
30.0,30,1.603571
14.0,14,1.603571
16.0,16,1.603571
11.0,11,1.612571
52.0,52,1.614571
40.0,40,1.614571
12.0,12,1.615571
18.0,18,1.619575
16.0,16,1.619575
46.0,46,1.623571
11.0,11,1.62558
14.0,14,1.62658
29.0,29,1.631581
20.0,20,1.633579
20.0,20,1.634579
11.0,11,1.636579
18.0,18,1.636579
19.0,19,1.641094
23.0,23,1.641094
12.0,12,1.650092
27.0,27,1.653091
19.0,19,1.654092
12.0,12,1.661093
26.0,26,1.663091
33.0,33,1.664092
32.0,32,1.666093
28.0,28,1.669093
17.0,17,1.669093
20.0,20,1.671093
10.0,10,1.676093
13.0,13,1.677093
18.0,18,1.677093
17.0,17,1.678093
45.0,45,1.685091
10.0,10,1.686093
10.0,10,1.687093
21.0,21,1.689093
23.0,23,1.694093
27.0,27,1.696092
26.0,26,1.702093
15.0,15,1.703092
10.0,10,1.704093
21.0,21,1.707092
28.0,28,1.707092
24.0,24,1.711092
12.0,12,1.714092
14.0,14,1.717093
25.0,25,1.721093
31.0,31,1.721093
17.0,17,1.7241
18.0,18,1.725099
13.0,13,1.730099
28.0,28,1.7321
20.0,20,1.7341
11.0,11,1.735099
19.0,19,1.739612
16.0,16,1.740612
17.0,17,1.750611
23.0,23,1.751611
45.0,45,1.754611
36.0,36,1.755611
19.0,19,1.760609
10.0,10,1.761612
32.0,32,1.767612
15.0,15,1.768612
29.0,29,1.769612
39.0,39,1.771612
16.0,16,1.772612
12.0,12,1.772612
17.0,17,1.774611
16.0,16,1.776612
15.0,15,1.781613
12.0,12,1.782613
19.0,19,1.786611
16.0,16,1.788612
13.0,13,1.788612
20.0,20,1.790613
11.0,11,1.796612
27.0,27,1.797612
31.0,31,1.797612
17.0,17,1.798612
9.0,9,1.805612
18.0,18,1.805612
21.0,21,1.808612
19.0,19,1.808612
17.0,17,1.812612
36.0,36,1.815612
21.0,21,1.818609
13.0,13,1.821609
16.0,16,1.821609
12.0,12,1.828613
15.0,15,1.833615
22.0,22,1.834615
33.0,33,1.835615
29.0,29,1.837615
34.0,34,1.838615
16.0,16,1.842045
28.0,28,1.845045
17.0,17,1.849045
58.0,58,1.850045
19.0,19,1.852046
13.0,13,1.854043
11.0,11,1.855044
21.0,21,1.857045
25.0,25,1.860042
11.0,11,1.863045
12.0,12,1.865045
16.0,16,1.866045
10.0,10,1.866045
38.0,38,1.867042
9.0,9,1.87604
17.0,17,1.877041
9.0,9,1.877041
30.0,30,1.878042
15.0,15,1.878042
30.0,30,1.878042
18.0,18,1.883042
17.0,17,1.883042
10.0,10,1.886042
11.0,11,1.886042
10.0,10,1.895039
16.0,16,1.897039
22.0,22,1.898039
14.0,14,1.899039
20.0,20,1.900039
9.0,9,1.903039
11.0,11,1.908039
14.0,14,1.910039
41.0,41,1.912039
16.0,16,1.914039
14.0,14,1.915039
9.0,9,1.918041
26.0,26,1.920042
53.0,53,1.922042
16.0,16,1.922042
11.0,11,1.924048
9.0,9,1.927049
27.0,27,1.936046
67.0,67,1.937046
13.0,13,1.938549
20.0,20,1.939552
18.0,18,1.939552
29.0,29,1.943552
10.0,10,1.944552
26.0,26,1.944552
10.0,10,1.947552
44.0,44,1.953554
14.0,14,1.955554
21.0,21,1.958555
17.0,17,1.960554
11.0,11,1.963554
25.0,25,1.970554
13.0,13,1.970554
30.0,30,1.972553
24.0,24,1.978556
20.0,20,1.981553
14.0,14,1.985554
24.0,24,1.988555
56.0,56,1.989555
12.0,12,1.991554
62.0,62,1.997555
26.0,26,1.997555
11.0,11,1.997555
29.0,29,1.998554
19.0,19,2.001555
18.0,18,2.004555
16.0,16,2.004555
14.0,14,2.008555
11.0,11,2.010555
19.0,19,2.012556
9.0,9,2.017555
26.0,26,2.020555
18.0,18,2.021555
19.0,19,2.022555
49.0,49,2.023555
29.0,29,2.024561
9.0,9,2.026561
11.0,11,2.033561
10.0,10,2.036561
27.0,27,2.037562
25.0,25,2.038562
19.0,19,2.039068
21.0,21,2.043076
21.0,21,2.044076
20.0,20,2.044076
10.0,10,2.047077
15.0,15,2.048077
18.0,18,2.055075
21.0,21,2.056076
15.0,15,2.058076
17.0,17,2.058076
18.0,18,2.061076
16.0,16,2.062076
27.0,27,2.065075
19.0,19,2.066076
15.0,15,2.070076
14.0,14,2.071076
15.0,15,2.072076
12.0,12,2.073076
14.0,14,2.074076
13.0,13,2.077073
28.0,28,2.081073
19.0,19,2.083073
13.0,13,2.088073
23.0,23,2.094074
29.0,29,2.098075
30.0,30,2.102075
36.0,36,2.105074
36.0,36,2.106075
24.0,24,2.110075
21.0,21,2.111076
31.0,31,2.111076
36.0,36,2.114076
15.0,15,2.119076
15.0,15,2.123075
31.0,31,2.124079
26.0,26,2.124079
13.0,13,2.125078
10.0,10,2.131079
25.0,25,2.132078
33.0,33,2.133078
13.0,13,2.135078
19.0,19,2.135078
20.0,20,2.140588
9.0,9,2.140588
36.0,36,2.141588
23.0,23,2.143588
12.0,12,2.144588
18.0,18,2.147587
18.0,18,2.149587
12.0,12,2.153588
15.0,15,2.157588
35.0,35,2.161588
17.0,17,2.162588
14.0,14,2.162588
25.0,25,2.163588
11.0,11,2.169588
23.0,23,2.177585
16.0,16,2.179585
16.0,16,2.180585
42.0,42,2.180585
12.0,12,2.181585
13.0,13,2.192587
17.0,17,2.193587
15.0,15,2.194587
11.0,11,2.202587
69.0,69,2.207585
48.0,48,14.795881
50.0,50,14.796881
34.0,34,14.798881
21.0,21,14.800881
17.0,17,14.807881
10.0,10,14.807881
32.0,32,14.809886
46.0,46,14.810882
15.0,15,14.810882
17.0,17,14.816884
33.0,33,14.819884
26.0,26,14.820884
15.0,15,14.827887
24.0,24,14.834888
27.0,27,14.835889
19.0,19,14.838889
35.0,35,14.846398
32.0,32,14.849399
25.0,25,14.852398
44.0,44,14.853399
24.0,24,14.860397
21.0,21,14.861398
17.0,17,14.864397
46.0,46,14.868397
16.0,16,14.868397
38.0,38,14.872397
12.0,12,14.875401
28.0,28,14.879401
13.0,13,14.881401
12.0,12,14.887401
41.0,41,14.890401
19.0,19,14.891401
32.0,32,14.892401
15.0,15,14.902401
45.0,45,14.904401
17.0,17,14.908401
