#{"t_start": 1706281260.8650422, "env_id": "None"}
r,l,t
-66.52333,1600,209.652557
-70.63823,1600,210.174258
-61.865917,1600,211.626001
-62.98915,1600,224.862559
-109.19802,56,224.98808
-57.73172,1600,225.00908
-67.930885,1600,225.027596
-118.15168,61,225.163125
-118.880196,90,225.368165
-63.965134,1600,225.411162
-57.93886,1600,225.574195
-65.731865,1600,225.688717
-114.30238,65,225.728237
-109.89107,52,225.809236
-62.291912,1600,226.205315
-65.4347,1600,227.662794
-62.56339,1600,228.582989
-58.03021,1600,228.599989
-71.3274,1600,228.953597
-64.799614,1600,229.001597
-110.18955,44,229.057118
-66.13645,1600,229.307658
-108.89798,114,229.313668
-54.896896,1600,229.391176
-59.47532,1600,242.096722
-108.17595,71,242.254752
-69.92903,1600,243.549941
-65.16883,1600,244.456252
-63.057495,1600,244.476252
-108.31369,73,244.646281
-121.382034,97,244.684281
-74.698746,1600,244.883317
-57.2027,1600,245.196877
-67.348564,1600,245.204877
-64.75552,1600,245.277395
-118.30142,167,245.579533
-53.880524,1600,245.837517
-137.36687,811,258.927865
-119.23654,84,259.114906
-119.251114,92,259.313941
-65.461235,1600,259.546041
-61.173527,1600,260.63122
-59.676987,1600,260.864564
-116.51518,60,260.999699
-66.0788,1600,261.171729
-110.429756,98,261.218729
-63.45019,1600,261.256902
-120.237686,276,261.262902
-106.51358,68,261.337991
-118.756226,87,261.452507
-54.340984,1600,261.56003
-106.91895,109,261.801072
-53.99004,1600,261.820072
-104.77239,67,261.973049
-109.98823,81,261.992049
-68.97745,1600,262.893229
-53.193443,1600,263.124272
-144.70676,1200,277.136479
-54.845745,1600,277.296683
-58.288803,1600,277.32769
-58.7048,1600,277.409206
-117.68861,85,277.523724
-62.040443,1600,277.532728
-107.61764,75,277.58024
-116.65728,76,277.695755
-110.973145,320,278.02115
-58.471016,1600,278.069242
-135.22336,599,278.491215
-148.47112,451,278.591732
-44.49246,1600,278.988809
-52.23224,1600,279.222844
-115.05586,90,279.426882
-45.586327,1600,293.660102
-66.84088,1600,293.825617
-61.11679,1600,294.169339
-52.440792,1600,294.209339
-68.54927,1600,294.62942
-121.54072,229,294.712932
-55.913315,1600,294.733936
-104.13935,109,294.984491
-104.93263,56,295.109006
-49.503456,1600,295.122006
-115.08846,78,295.300045
-43.281372,1600,295.557598
-115.60475,83,295.745468
-59.244602,1600,297.259987
-47.871452,1600,297.427506
-46.695263,1600,310.129536
-42.47491,1600,310.587072
-46.43589,1600,310.672596
-48.13026,1600,311.052948
-61.726078,1600,311.237468
-52.031578,1600,311.675637
-101.14468,70,311.828159
-136.9292,1120,313.146915
-61.93231,1600,313.181921
-56.580605,1600,313.348957
-104.82255,122,313.459481
-46.893387,1600,313.674536
-102.92743,104,313.913308
-43.9542,1600,314.147379
-61.692596,1600,326.910619
-61.342175,1600,327.094655
-41.28812,1600,327.686759
-47.858337,1600,329.048065
-32.860725,1600,329.258614
-46.448883,1600,329.373132
-39.476925,1600,329.843818
-45.89329,1600,330.091364
-49.88817,1600,330.578867
-30.726442,1600,330.771901
-42.60567,1600,331.399015
-40.978252,1600,345.145505
-45.462337,1600,345.342122
-46.780727,1600,345.454151
-28.281507,1600,345.900722
-39.603985,1600,346.136758
-37.1584,1600,346.598363
-37.88786,1600,346.785395
-114.02455,185,347.021433
-110.64018,62,347.15847
-51.06872,1600,347.394507
-108.507576,79,347.572545
-26.184818,1600,361.068313
-51.459244,1600,361.262343
-28.340284,1600,361.37386
-33.696564,1600,361.813942
-58.069786,1600,362.04899
-38.77105,1600,362.696191
-115.70775,90,362.899225
-27.63852,1600,363.064269
-23.222263,1600,363.471689
-23.797289,1600,364.626429
-21.158875,1600,364.827466
-23.714094,1600,364.942986
-115.84507,69,364.990499
-23.862858,1600,377.742315
-30.013664,1600,377.979869
-111.56121,43,378.080385
-29.657396,1600,378.828561
-24.464392,1600,379.0006
-18.17894,1600,379.410681
-24.411894,1600,380.557405
-106.95832,61,380.692444
-13.198555,1600,380.868482
-23.807915,1600,380.91748
-9.585898,1600,381.322082
-22.085457,1600,381.65365
-20.102472,1600,394.763427
-14.800189,1600,394.937948
-12.007151,1600,395.344021
-15.232038,1600,396.616773
-15.613137,1600,396.791813
-10.29075,1600,396.836813
-4.232205,1600,397.244893
-13.709108,1600,397.573961
